id	sense
d000.s000.t000	wnlem_long|en#89390
d000.s100.t002	wnlem_long|en#89366
d002.s013.t006	wnlem_long|en#-1
d002.s039.t008	wnlem_long|en#89390
d002.s088.t004	wnlem_long|en#89366
d004.s020.t003	wnlem_long|en#89390
d004.s027.t000	wnlem_long|en#89366
d004.s045.t005	wnlem_long|en#89366
d004.s083.t002	wnlem_long|en#89390
d004.s058.t002	wnlem_long|en#89366
d004.s093.t000	wnlem_long|en#73938
d005.s000.t012	wnlem_long|en#89390
d001.s081.t007	wnlem_long|en#89390
d003.s012.t017	wnlem_long|en#-1
d006.s080.t013	wnlem_long|en#89390
d007.s084.t004	wnlem_long|en#89366
d011.s015.t008	wnlem_long|en#-1
d011.s018.t004	wnlem_long|en#89366
d011.s156.t000	wnlem_long|en#89390
d016.s033.t004	wnlem_long|en#89366
d017.s036.t000	wnlem_long|en#89366
d017.s037.t000	wnlem_long|en#89366
d017.s040.t002	wnlem_long|en#89366
d017.s008.t003	wnlem_long|en#89390
d017.s050.t007	wnlem_long|en#89366
d017.s050.t010	wnlem_long|en#89366
d017.s000.t010	wnlem_long|en#89366
d018.s009.t005	wnlem_long|en#89390
d018.s031.t001	wnlem_long|en#89390
d018.s100.t014	wnlem_long|en#89390
d021.s090.t002	wnlem_long|en#-1
d023.s075.t000	wnlem_long|en#89390
d022.s114.t001	wnlem_long|en#-1
d023.s028.t002	wnlem_long|en#89390
d025.s036.t001	wnlem_long|en#-1
d025.s130.t002	wnlem_long|en#89366
d022.s084.t019	wnlem_long|en#-1
d027.s071.t007	wnlem_long|en#89390
d028.s108.t003	wnlem_long|en#89390
d028.s142.t001	wnlem_long|en#89390
d028.s142.t014	wnlem_long|en#89390
d029.s002.t008	wnlem_long|en#89390
d029.s058.t011	wnlem_long|en#89390
d031.s006.t015	wnlem_long|en#89366
d031.s002.t004	wnlem_long|en#89390
d032.s019.t000	wnlem_long|en#89390
d032.s142.t000	wnlem_long|en#89366
d032.s149.t001	wnlem_long|en#89390
d033.s058.t008	wnlem_long|en#89390
d034.s000.t001	wnlem_long|en#89366
d034.s020.t006	wnlem_long|en#89366
d034.s090.t001	wnlem_long|en#89366
d036.s102.t011	wnlem_long|en#89366
d036.s089.t008	wnlem_long|en#89390
d037.s043.t005	wnlem_long|en#89390
d041.s009.t002	wnlem_long|en#89390
d041.s029.t000	wnlem_long|en#-1
d042.s019.t014	wnlem_long|en#89366
d042.s056.t012	wnlem_long|en#89390
d039.s022.t003	wnlem_long|en#89390
d043.s033.t000	wnlem_long|en#89390
d044.s032.t001	wnlem_long|en#89366
d044.s052.t004	wnlem_long|en#89366
d044.s068.t007	wnlem_long|en#89366
d043.s031.t005	wnlem_long|en#89366
d048.s003.t002	wnlem_long|en#-1
d050.s003.t005	wnlem_long|en#89390
d050.s157.t002	wnlem_long|en#-1
d051.s031.t004	wnlem_long|en#89390
d051.s036.t008	wnlem_long|en#89366
d053.s004.t006	wnlem_long|en#89390
d053.s009.t002	wnlem_long|en#89390
d052.s054.t012	wnlem_long|en#89390
d056.s103.t008	wnlem_long|en#89366
d058.s096.t000	wnlem_long|en#89390
d058.s098.t000	wnlem_long|en#89390
d062.s043.t001	wnlem_long|en#89390
d062.s044.t012	wnlem_long|en#89366
d062.s035.t006	wnlem_long|en#-1
d063.s000.t000	wnlem_long|en#89366
d063.s050.t008	wnlem_long|en#89366
d063.s072.t007	wnlem_long|en#89390
d064.s002.t002	wnlem_long|en#89390
